Company,Date,Close/Last,Volume,Open,High,Low
ibm,04/24/2025,$229.33,15428140,$231.175,$232.78,$224.4401
ibm,04/23/2025,$245.48,7948259,$246.00,$249.34,$243.66
ibm,04/22/2025,$240.90,4232658,$238.50,$242.64,$238.02
ibm,04/21/2025,$236.22,4908923,$238.065,$240.805,$232.93
ibm,04/17/2025,$238.81,4635204,$239.68,$241.775,$237.40
ibm,04/16/2025,$238.57,4870299,$240.28,$243.2999,$235.89
ibm,04/15/2025,$240.70,3363708,$239.55,$241.53,$238.27
ibm,04/14/2025,$239.06,3321717,$239.77,$241.77,$236.73
ibm,04/11/2025,$235.48,4325895,$229.72,$237.58,$227.51
ibm,04/10/2025,$229.55,5656108,$231.00,$232.57,$222.02
ibm,04/09/2025,$235.31,7302808,$217.12,$236.30,$215.1636
ibm,04/08/2025,$221.03,6849996,$232.56,$233.05,$217.28
ibm,04/07/2025,$225.78,7797889,$219.24,$232.29,$214.50
ibm,04/04/2025,$227.48,7407096,$238.00,$240.16,$226.88
ibm,04/03/2025,$243.49,5309626,$242.71,$250.61,$242.53
ibm,04/02/2025,$249.98,4080832,$248.22,$252.79,$247.23
ibm,04/01/2025,$250.34,4413139,$248.03,$250.62,$243.49
ibm,03/31/2025,$248.66,6794972,$242.74,$250.89,$242.49
ibm,03/28/2025,$244.00,3125594,$246.27,$247.57,$242.07
ibm,03/27/2025,$246.21,2889328,$249.71,$250.30,$245.725
ibm,03/26/2025,$250.34,4452220,$251.25,$254.32,$249.53
ibm,03/25/2025,$249.90,3133809,$248.36,$250.90,$248.20
ibm,03/24/2025,$248.45,4753331,$247.31,$248.82,$245.965
ibm,03/21/2025,$243.87,9580084,$241.69,$245.205,$238.50
ibm,03/20/2025,$243.32,7026796,$244.24,$246.80,$237.224
ibm,03/19/2025,$252.29,3853598,$248.33,$253.66,$246.64
ibm,03/18/2025,$246.95,4172239,$252.51,$252.57,$245.12
ibm,03/17/2025,$252.97,3234149,$249.25,$254.63,$249.00
ibm,03/14/2025,$248.35,4045284,$242.745,$248.9499,$241.68
ibm,03/13/2025,$245.80,3862416,$248.80,$249.27,$243.04
ibm,03/12/2025,$249.63,3849206,$250.35,$253.1273,$245.53
ibm,03/11/2025,$248.95,5630570,$255.99,$256.70,$245.86
ibm,03/10/2025,$256.90,8165503,$261.56,$266.45,$254.7474
ibm,03/07/2025,$261.54,6700184,$245.95,$261.96,$245.1823
ibm,03/06/2025,$248.69,3254358,$249.75,$252.10,$246.8019
ibm,03/05/2025,$251.35,4009813,$251.58,$252.74,$247.0146
ibm,03/04/2025,$253.21,5342106,$248.75,$255.48,$248.10
ibm,03/03/2025,$250.19,2977699,$254.735,$255.99,$248.245
ibm,02/28/2025,$252.44,7988809,$250.855,$252.8099,$246.54
ibm,02/27/2025,$253.23,3402234,$255.22,$257.63,$253.05
ibm,02/26/2025,$255.84,3460124,$258.10,$258.325,$254.4104
ibm,02/25/2025,$257.75,6292487,$261.08,$263.48,$256.77
ibm,02/24/2025,$261.87,4398107,$261.50,$263.845,$259.58
ibm,02/21/2025,$261.48,5667874,$263.845,$264.83,$261.10
ibm,02/20/2025,$264.74,4884805,$263.65,$265.09,$262.15
ibm,02/19/2025,$264.32,3718678,$262.00,$264.36,$260.09
ibm,02/18/2025,$263.07,4262812,$261.93,$263.965,$259.83
ibm,02/14/2025,$261.28,3925277,$259.00,$261.94,$257.91
ibm,02/13/2025,$259.19,4531538,$255.66,$259.28,$254.41
ibm,02/12/2025,$255.81,3075308,$252.72,$256.40,$252.02
ibm,02/11/2025,$254.70,4801550,$251.10,$256.75,$250.58
ibm,02/10/2025,$249.27,3564400,$250.86,$251.95,$246.87
ibm,02/07/2025,$252.34,3370284,$255.28,$256.93,$252.02
ibm,02/06/2025,$253.44,6128293,$262.98,$263.38,$252.73
ibm,02/05/2025,$263.30,6165096,$265.71,$265.72,$261.18
ibm,02/04/2025,$264.46,6077652,$260.00,$265.25,$258.1233
ibm,02/03/2025,$260.73,8408523,$252.40,$262.06,$251.84
ibm,01/31/2025,$255.70,7203519,$256.05,$257.235,$251.89
ibm,01/30/2025,$258.27,15381890,$250.00,$261.80,$247.01
ibm,01/29/2025,$228.63,7079804,$225.62,$229.47,$223.73
ibm,01/28/2025,$225.66,4485429,$224.32,$225.77,$221.77
ibm,01/27/2025,$224.13,4898355,$222.19,$224.30,$219.84
ibm,01/24/2025,$224.80,3233293,$225.27,$226.8104,$223.80
ibm,01/23/2025,$226.04,3619651,$223.94,$226.04,$223.15
ibm,01/22/2025,$223.26,4759490,$221.98,$224.40,$220.35
ibm,01/21/2025,$224.26,3982203,$224.99,$227.45,$222.8302
ibm,01/17/2025,$224.79,5506837,$225.955,$225.955,$223.64
ibm,01/16/2025,$222.66,3329060,$219.69,$222.68,$217.38
ibm,01/15/2025,$220.03,2951825,$220.87,$221.6761,$218.01
ibm,01/14/2025,$217.75,3485829,$218.00,$218.125,$214.61
ibm,01/13/2025,$217.40,3716816,$217.89,$219.59,$214.75
ibm,01/10/2025,$219.75,3570497,$222.00,$222.43,$216.80
ibm,01/08/2025,$223.18,2619768,$223.91,$224.90,$220.83
ibm,01/07/2025,$223.96,3299701,$223.35,$226.711,$222.83
ibm,01/06/2025,$222.67,2847128,$223.00,$224.35,$220.75
ibm,01/03/2025,$222.65,3873578,$220.55,$223.66,$220.55
ibm,01/02/2025,$219.94,2579498,$221.82,$222.49,$217.60
ibm,12/31/2024,$219.83,2270512,$220.72,$221.0493,$218.44
ibm,12/30/2024,$220.25,2095565,$220.54,$221.5942,$217.6523
ibm,12/27/2024,$222.78,1810760,$223.14,$224.42,$221.4054
ibm,12/26/2024,$224.89,3287238,$223.31,$225.40,$222.55
ibm,12/24/2024,$224.41,1186216,$222.27,$224.4446,$221.5428
ibm,12/23/2024,$221.93,2988137,$222.81,$223.74,$221.08
ibm,12/20/2024,$223.36,12423200,$222.73,$227.6847,$221.68
ibm,12/19/2024,$223.92,4430120,$224.42,$226.20,$222.98
ibm,12/18/2024,$220.17,4152517,$229.035,$229.035,$220.03
ibm,12/17/2024,$228.97,3651346,$229.23,$230.20,$227.62
ibm,12/16/2024,$229.33,3610257,$230.73,$231.03,$226.88
ibm,12/13/2024,$230.82,2757683,$232.25,$233.775,$230.26
ibm,12/12/2024,$232.26,4515741,$230.66,$233.89,$230.38
ibm,12/11/2024,$230.12,3872680,$232.69,$233.00,$229.13
ibm,12/10/2024,$231.72,4769531,$228.40,$234.39,$227.80
ibm,12/09/2024,$230.00,4970449,$238.00,$239.35,$228.91
ibm,12/06/2024,$238.04,4028430,$234.43,$238.38,$234.22
ibm,12/05/2024,$234.75,4791116,$233.55,$236.52,$233.46
ibm,12/04/2024,$233.49,4104195,$230.00,$233.74,$229.35
ibm,12/03/2024,$229.00,3163815,$227.24,$229.11,$226.67
ibm,12/02/2024,$227.39,2656181,$227.50,$228.38,$225.51
ibm,11/29/2024,$227.41,2640253,$227.75,$230.36,$227.19
ibm,11/27/2024,$226.92,2995121,$228.83,$229.19,$224.27
ibm,11/26/2024,$228.83,4449543,$226.73,$228.98,$225.5115
ibm,11/25/2024,$226.13,7189260,$223.35,$226.42,$222.65
ibm,11/22/2024,$222.97,5320740,$223.35,$227.20,$220.89
ibm,11/21/2024,$222.40,5236434,$215.81,$222.63,$215.2701
ibm,11/20/2024,$214.60,4562901,$211.00,$214.96,$209.7725
ibm,11/19/2024,$210.25,2860746,$206.50,$210.33,$206.19
ibm,11/18/2024,$208.09,3406045,$207.00,$208.415,$205.3701
ibm,11/15/2024,$204.99,3986460,$207.46,$208.49,$204.07
ibm,11/14/2024,$208.99,6372853,$210.00,$210.4999,$206.35
ibm,11/13/2024,$210.92,3247830,$209.50,$211.41,$209.0701
ibm,11/12/2024,$210.86,2818216,$211.90,$213.03,$209.06
ibm,11/11/2024,$213.57,3012987,$214.40,$215.41,$213.48
ibm,11/08/2024,$213.72,3201038,$214.16,$216.70,$212.7809
ibm,11/07/2024,$213.69,3675812,$213.64,$214.5199,$211.93
ibm,11/06/2024,$213.60,3934386,$213.48,$214.33,$210.37
ibm,11/05/2024,$207.57,2441535,$206.17,$208.115,$205.57
ibm,11/04/2024,$206.32,2594119,$207.65,$207.70,$205.80
ibm,11/01/2024,$208.25,3334308,$207.77,$209.84,$207.41
ibm,10/31/2024,$206.72,5925250,$204.13,$208.13,$203.51
ibm,10/30/2024,$204.90,6956624,$209.48,$211.12,$204.26
ibm,10/29/2024,$210.43,5258366,$211.99,$213.34,$209.85
ibm,10/28/2024,$212.91,4993343,$215.50,$216.25,$212.70
ibm,10/25/2024,$214.67,8482235,$216.80,$218.65,$214.385
ibm,10/24/2024,$218.39,11193440,$220.80,$221.32,$216.16
